1283027.00	0.4042
1288024.00	-0.1114
1293019.00	-0.3280
1298018.00	-0.1132
1303019.00	-0.1168
1308019.00	-0.0604
1313020.00	-0.1114
1318021.00	0.3308
1323019.00	0.0023
1328020.00	-0.2824
1333020.00	-0.1016
1338019.00	-0.2349
1343020.00	-0.3594
1348019.00	-0.1159
1353020.00	-0.2546
1358018.00	-0.3468
1363019.00	-0.2358
1368020.00	-0.1830
1373020.00	-0.2833
1378019.00	-0.1472
1383020.00	-0.2269
1388020.00	-0.2385
1393020.00	-0.1239
1398020.00	-0.0828
1403021.00	-0.1472
1408021.00	-0.1526
1413020.00	-0.1007
1418021.00	-0.1060
1423022.00	-0.0371
1428020.00	-0.0291
1433022.00	0.0175
1438022.00	-0.1016
1443021.00	-0.1213
1448022.00	0.1258
1453019.00	0.1330
1458019.00	-0.1427
1463021.00	-0.1544
1468020.00	-0.1624
1473020.00	0.0050
1478021.00	0.1124
1483021.00	0.0372
1488022.00	0.1276
1493020.00	0.0050
1498020.00	-0.1087
1503020.00	0.1106
1508022.00	-0.0004
1513021.00	-0.0702
1518020.00	-0.1132
1523022.00	0.0193
1528020.00	-0.0085
1533021.00	-0.1096
1538020.00	-0.1356
1543020.00	-0.1392
1548022.00	0.0032
1553020.00	0.0954
1558021.00	0.0981
1563021.00	0.0148
1568021.00	-0.1606
1573021.00	-0.0863
1578020.00	-0.0443
1583021.00	-0.0479
1588021.00	-0.0487
1593021.00	0.0220
1598021.00	0.0282
1603021.00	-0.0344
1608021.00	0.0139
1613021.00	0.0882
1618021.00	-0.0031
1623022.00	-0.0111
1628021.00	0.0533
1633022.00	0.0452
1638023.00	0.0667
1643020.00	0.0864
1648023.00	0.1204
1653023.00	0.1007
1658021.00	0.0676
1663021.00	0.0757
1668021.00	0.0614
1673021.00	0.0533
1678022.00	0.1070
1683023.00	0.0963
1688021.00	0.0748
1693021.00	0.0936
1698021.00	0.1160
1703021.00	0.0900
1708021.00	0.1007
1713021.00	0.0846
1718023.00	0.0605
1723021.00	0.0632
1728021.00	0.0981
1733021.00	0.1276
1738021.00	0.0515
1743021.00	0.0802
1748021.00	0.0882
1753022.00	0.0578
1758021.00	0.0819
1763023.00	0.1115
1768022.00	0.0461
1773023.00	0.0381
1778021.00	0.0846
1783021.00	0.0461
1788022.00	0.0139
1793023.00	0.0452
1798023.00	0.0694
1803022.00	0.0103
1808021.00	0.0229
1813022.00	0.0435
1818021.00	0.0193
1823024.00	0.0318
1828024.00	0.0694
1833022.00	0.0381
1838023.00	-0.0147
1843024.00	0.0273
1848023.00	0.0694
1853023.00	0.0381
1858021.00	0.0032
1863024.00	0.0524
1868024.00	0.0703
1873024.00	0.0426
1878022.00	0.0802
1883022.00	0.0542
1888023.00	0.0085
1893023.00	0.0417
1898023.00	0.0685
1903023.00	0.0479
1908023.00	0.0533
1913023.00	0.0873
1918024.00	0.0488
1923022.00	0.0256
1928024.00	0.0202
1933022.00	0.0461
1938024.00	0.0247
1943024.00	0.0587
1948023.00	0.0605
1953025.00	0.0059
1958024.00	0.0032
1963023.00	0.0435
1968023.00	0.0139
1973023.00	-0.0103
1978025.00	0.0444
1983024.00	0.0551
1988024.00	0.0264
1993024.00	0.0578
1998024.00	0.0775
2003024.00	0.0282
2008024.00	0.0685
2013024.00	0.1742
2018023.00	0.0479
2023024.00	-0.0067
2028024.00	0.1509
2033023.00	0.1437
2038024.00	-0.0693
2043024.00	-0.0335
2048024.00	0.0121
2053023.00	0.0050
2058024.00	0.0587
2063023.00	-0.0765
2068023.00	-0.1839
2073025.00	-0.1615
2078023.00	-0.0049
2083024.00	0.0148
2088024.00	-0.0022
2093024.00	0.1607
2098025.00	0.2673
2103024.00	-0.0326
2108024.00	-0.1069
2113025.00	0.0560
2118024.00	-0.0622
2123025.00	-0.1051
2128026.00	-0.0729
2133023.00	0.0936
2138025.00	0.0837
