ms		ax 		ay		az (g's) 
9136	-0.11	0.03	1.03
9141	-0.11	0.02	1.03
9146	-0.11	0.02	1.03
9151	-0.11	0.02	1.03
9156	-0.11	0.02	1.03
9161	-0.11	0.03	1.04
9166	-0.11	0.03	1.04
9171	-0.10	0.02	1.02
9176	-0.10	0.02	1.02
9181	-0.10	0.02	1.00
9186	-0.10	0.02	1.00
9191	-0.11	0.02	1.02
9196	-0.11	0.02	1.02
9201	-0.11	0.02	1.03
9206	-0.11	0.02	1.03
9211	-0.11	0.02	1.02
9216	-0.11	0.02	1.02
9221	-0.11	0.02	1.02
9226	-0.11	0.02	1.02
9231	-0.10	0.02	1.03
9236	-0.10	0.02	1.03
9241	-0.10	0.02	1.02
9246	-0.10	0.02	1.02
9251	-0.10	0.02	1.02
9256	-0.10	0.02	1.02
9261	-0.10	0.03	1.03
9266	-0.10	0.03	1.03
9271	-0.10	0.03	1.02
9276	-0.10	0.03	1.02
9281	-0.11	0.02	1.03
9286	-0.11	0.02	1.03
9291	-0.11	0.02	1.02
9296	-0.11	0.02	1.02
9301	-0.11	0.02	1.02
9306	-0.11	0.02	1.02
9311	-0.11	0.02	1.02
9316	-0.11	0.02	1.02
9321	-0.11	0.02	1.02
9326	-0.11	0.02	1.02
9331	-0.11	0.02	1.02
9336	-0.11	0.02	1.02
9341	-0.10	0.02	1.03
9346	-0.10	0.02	1.03
9351	-0.10	0.02	1.02
9356	-0.10	0.02	1.02
9361	-0.10	0.02	1.02
9366	-0.10	0.02	1.02
9371	-0.10	0.02	1.02
9376	-0.10	0.02	1.02
9381	-0.10	0.02	1.02
9386	-0.10	0.02	1.02
9391	-0.10	0.02	1.02
9396	-0.10	0.02	1.02
9401	-0.10	0.02	1.02
9406	-0.10	0.02	1.02
9411	-0.11	0.02	1.02
9416	-0.11	0.02	1.02
9421	-0.10	0.02	1.02
9426	-0.10	0.02	1.02
9431	-0.10	0.02	1.02
9436	-0.10	0.02	1.02
9441	-0.10	0.02	1.03
9446	-0.10	0.02	1.03
9451	-0.11	0.02	1.03
9456	-0.11	0.02	1.03
9461	-0.11	0.02	1.02
9466	-0.11	0.02	1.02
9471	-0.11	0.02	1.02
9476	-0.11	0.02	1.02
9481	-0.11	0.02	1.02
9486	-0.11	0.02	1.02
9491	-0.11	0.02	1.03
9496	-0.11	0.02	1.03
9501	-0.10	0.02	1.03
9506	-0.10	0.02	1.03
9511	-0.11	0.02	1.02
9516	-0.11	0.02	1.02
9521	-0.11	0.02	1.02
9526	-0.11	0.02	1.02
